=== RESULTS FOR FILE: 1-I.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,57645.41,57284.1,361.31,0.63%
total_time,170.43,165.2,5.23,3.07%
rest_time,40,34.8,5.2,13.00%
first_quartile,349.23,349.2,0.03,0.01%
median_freq,415.31,415.3,0.01,0.00%
third_quartile,523.25,523.2,0.05,0.01%
lvhp_time,32.83,32.8,0.03,0.08%
lvhp_percent,25.17,25.2,0.03,0.13%
lvmp_time,18.04,18,0.04,0.24%
lvmp_percent,13.83,13.8,0.03,0.24%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,9.57,9.6,0.03,0.36%
mvhp_percent,7.33,7.3,0.03,0.45%
mvmp_time,39.13,39.1,0.03,0.08%
mvmp_percent,30,30,0,0.00%
mvlp_time,6.96,7,0.04,0.62%
mvlp_percent,5.33,5.3,0.03,0.62%
hvhp_time,9.57,9.6,0.03,0.36%
hvhp_percent,7.33,7.3,0.03,0.45%
hvmp_time,39.57,39.6,0.03,0.09%
hvmp_percent,30.33,30.3,0.03,0.11%
hvlp_time,6.96,7,0.04,0.62%
hvlp_percent,5.33,5.3,0.03,0.62%
,,,,
=== RESULTS FOR FILE: 105-CV.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,50087.66,50034.3,53.36,0.11%
total_time,146.67,146.7,0.03,0.02%
rest_time,29.58,29.7,0.12,0.39%
first_quartile,349.23,349.2,0.03,0.01%
median_freq,415.31,392,23.31,5.61%
third_quartile,493.88,493.9,0.02,0.00%
lvhp_time,23.26,22.8,0.46,1.99%
lvhp_percent,19.87,19.5,0.37,1.86%
lvmp_time,25.42,25.4,0.02,0.07%
lvmp_percent,21.71,21.7,0.01,0.04%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,11.25,11.2,0.05,0.44%
mvhp_percent,9.61,9.6,0.01,0.09%
mvmp_time,42.92,42.7,0.22,0.50%
mvmp_percent,36.65,36.5,0.15,0.42%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,3.33,3.3,0.03,1.00%
hvhp_percent,2.85,2.8,0.05,1.65%
hvmp_time,47.29,46.9,0.39,0.83%
hvmp_percent,40.39,40.1,0.29,0.72%
hvlp_time,10.42,10.4,0.02,0.16%
hvlp_percent,8.9,8.9,0,0.04%
,,,,
=== RESULTS FOR FILE: 106-CVI.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,36925.94,36865.7,60.24,0.16%
total_time,114.75,114.7,0.05,0.04%
rest_time,29.16,29.1,0.06,0.19%
first_quartile,311.13,311.1,0.03,0.01%
median_freq,415.31,415.3,0.01,0.00%
third_quartile,493.88,493.9,0.02,0.00%
lvhp_time,19.66,19.5,0.16,0.79%
lvhp_percent,22.96,22.7,0.26,1.15%
lvmp_time,22.25,22.2,0.05,0.22%
lvmp_percent,25.99,26,0.01,0.02%
lvlp_time,2.25,2.2,0.05,2.22%
lvlp_percent,2.63,2.6,0.03,1.09%
mvhp_time,14.22,14.1,0.12,0.84%
mvhp_percent,16.61,16.5,0.11,0.67%
mvmp_time,30.69,30.8,0.11,0.37%
mvmp_percent,35.85,36,0.15,0.41%
mvlp_time,4.5,4.5,0,0.00%
mvlp_percent,5.26,5.3,0.04,0.81%
hvhp_time,8.59,8.7,0.11,1.24%
hvhp_percent,10.04,10.1,0.06,0.60%
hvmp_time,24.06,23.9,0.16,0.68%
hvmp_percent,28.11,27.9,0.21,0.76%
hvlp_time,17.81,18,0.19,1.05%
hvlp_percent,20.81,21,0.19,0.91%
,,,,
=== RESULTS FOR FILE: 107-CVII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,40309.16,38905.7,1403.46,3.48%
total_time,158.83,156,2.83,1.78%
rest_time,65.64,65.6,0.04,0.05%
first_quartile,349.23,349.2,0.03,0.01%
median_freq,415.31,415.3,0.01,0.00%
third_quartile,523.25,523.2,0.05,0.01%
lvhp_time,27.89,25.6,2.29,8.21%
lvhp_percent,29.93,28.3,1.63,5.43%
lvmp_time,18.99,18.3,0.69,3.65%
lvmp_percent,20.38,20.2,0.18,0.88%
lvlp_time,0.91,0.9,0.01,1.00%
lvlp_percent,0.98,1,0.02,2.51%
mvhp_time,8.82,8.8,0.02,0.23%
mvhp_percent,9.46,9.8,0.34,3.55%
mvmp_time,23.29,23.3,0.01,0.04%
mvmp_percent,24.99,25.7,0.71,2.84%
mvlp_time,9.15,9.1,0.05,0.49%
mvlp_percent,9.81,10.1,0.29,2.93%
hvhp_time,7.75,7.7,0.05,0.63%
hvhp_percent,8.31,8.6,0.29,3.43%
hvmp_time,29.81,30.2,0.39,1.32%
hvmp_percent,31.98,33.5,1.52,4.75%
hvlp_time,13.31,12.4,0.91,6.85%
hvlp_percent,14.28,13.7,0.58,4.09%
,,,,
=== RESULTS FOR FILE: 108-CVIII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,38944.51,39850.2,905.69,2.33%
total_time,118.82,118.8,0.02,0.02%
rest_time,27.17,27.2,0.03,0.10%
first_quartile,349.23,349.2,0.03,0.01%
median_freq,415.31,415.3,0.01,0.00%
third_quartile,493.88,493.9,0.02,0.00%
