=== RESULTS FOR FILE: 1-I.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
hvmp_time,47.12,47.1,0.02,0.05%
hvmp_percent,21.81,21.8,0.01,0.03%
hvlp_time,0.91,0.9,0.01,1.00%
hvlp_percent,0.42,0.4,0.02,4.92%
,,,,
=== RESULTS FOR FILE: 135-CXXXV.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,73638.54,73515.9,122.64,0.17%
total_time,186.96,192.8,5.84,3.13%
rest_time,51.46,57.3,5.84,11.35%
first_quartile,392,392,0,0.00%
median_freq,523.25,523.2,0.05,0.01%
third_quartile,659.25,659.3,0.05,0.01%
lvhp_time,49.38,49.4,0.02,0.04%
lvhp_percent,36.44,36.4,0.04,0.12%
lvmp_time,1.3,1.3,0,0.33%
lvmp_percent,0.96,1,0.04,3.88%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,58.08,57.9,0.18,0.31%
mvhp_percent,42.87,42.7,0.17,0.39%
mvmp_time,20.69,20.7,0.01,0.03%
mvmp_percent,15.27,15.3,0.03,0.18%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,40.95,41,0.05,0.11%
hvhp_percent,30.23,30.2,0.03,0.08%
hvmp_time,35.89,36.1,0.21,0.59%
hvmp_percent,26.49,26.6,0.11,0.43%
hvlp_time,1.3,1.3,0,0.33%
hvlp_percent,0.96,1,0.04,3.88%
,,,,
=== RESULTS FOR FILE: 136-CXXXVI.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,63084.77,63085.7,0.93,0.00%
total_time,161.08,161.5,0.42,0.26%
rest_time,32.88,33.4,0.52,1.59%
first_quartile,440,440,0,0.00%
median_freq,466.16,466.2,0.04,0.01%
third_quartile,554.37,523.2,31.17,5.62%
lvhp_time,40.24,40.2,0.04,0.10%
lvhp_percent,31.39,31.4,0.01,0.04%
lvmp_time,3.29,3.3,0.01,0.25%
lvmp_percent,2.57,2.6,0.03,1.26%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,22.61,22.6,0.01,0.04%
mvhp_percent,17.64,17.6,0.04,0.20%
mvmp_time,6.44,6.4,0.04,0.59%
mvmp_percent,5.02,5,0.02,0.43%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,12.04,12,0.04,0.30%
hvhp_percent,9.39,9.4,0.01,0.13%
hvmp_time,26.75,26.7,0.05,0.18%
hvmp_percent,20.86,20.8,0.06,0.31%
hvlp_time,2.38,2.4,0.02,0.80%
hvlp_percent,1.86,1.9,0.04,2.31%
,,,,
=== RESULTS FOR FILE: 137-CXXXVII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,96164.46,96359.7,195.24,0.20%
total_time,229.16,229.5,0.34,0.15%
rest_time,60.47,60.7,0.23,0.39%
first_quartile,466.16,466.2,0.04,0.01%
median_freq,554.37,554.4,0.03,0.01%
third_quartile,659.25,659.3,0.05,0.01%
lvhp_time,76.92,74.5,2.42,3.14%
lvhp_percent,45.6,44.1,1.5,3.28%
lvmp_time,10.83,9.2,1.63,15.01%
lvmp_percent,6.42,5.5,0.92,14.29%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,58.91,59.1,0.19,0.32%
mvhp_percent,34.92,35,0.08,0.22%
mvmp_time,18.44,18.6,0.16,0.84%
mvmp_percent,10.93,11,0.07,0.61%
mvlp_time,1.21,1.2,0.01,1.00%
mvlp_percent,0.72,0.7,0.02,2.58%
hvhp_time,46.63,46.2,0.43,0.93%
hvhp_percent,27.64,27.4,0.24,0.89%
hvmp_time,21.71,21.6,0.11,0.52%
hvmp_percent,12.87,12.8,0.07,0.55%
hvlp_time,2.02,2,0.02,0.78%
hvlp_percent,1.19,1.2,0.01,0.43%
,,,,
=== RESULTS FOR FILE: 138-CXXXVIII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,76068.53,72873.4,3195.13,4.20%
total_time,187.62,185.7,1.92,1.02%
rest_time,64.76,68.6,3.84,5.93%
first_quartile,493.88,493.9,0.02,0.00%
median_freq,659.25,659.3,0.05,0.01%
third_quartile,739.99,740,0.01,0.00%
lvhp_time,59.21,54,5.21,8.79%
lvhp_percent,48.19,46.1,2.09,4.34%
lvmp_time,3.65,3.3,0.35,9.61%
lvmp_percent,2.97,2.8,0.17,5.77%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,56.43,53.7,2.73,4.84%
mvhp_percent,45.93,45.9,0.03,0.07%
mvmp_time,6.11,5.8,0.31,5.09%
mvmp_percent,4.97,4.9,0.07,1.49%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,49.68,47.8,1.88,3.79%
hvhp_percent,40.44,40.8,0.36,0.89%
hvmp_time,6.11,5.8,0.31,5.09%
hvmp_percent,4.97,4.9,0.07,1.49%
hvlp_time,0,0,0,0.00%
hvlp_percent,0,0,0,0.00%
,,,,
=== RESULTS FOR FILE: 139-CXXXIX.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,77745.81,78232.2,486.39,0.63%
total_time,186.56,187.6,1.04,0.56%
rest_time,31.54,31.9,0.36,1.15%
first_quartile,415.31,415.3,0.01,0.00%
median_freq,493.88,440,53.88,10.91%
third_quartile,587.33,587.3,0.03,0.01%
lvhp_time,45.72,46.2,0.48,1.05%
lvhp_percent,29.49,29.7,0.21,0.70%
lvmp_time,15.5,15.5,0,0.00%
lvmp_percent,10,10,0,0.02%
lvlp_time,1.1,0,1.1,100.00%
lvlp_percent,0.71,0,0.71,100.00%
mvhp_time,46.35,46.1,0.25,0.54%
mvhp_percent,29.9,29.6,0.3,1.01%
mvmp_time,30.42,30.5,0.08,0.27%
mvmp_percent,19.62,19.6,0.02,0.12%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,31.18,30.9,0.28,0.90%
hvhp_percent,20.11,19.9,0.21,1.06%
hvmp_time,31.79,32.7,0.91,2.86%
hvmp_percent,20.51,21,0.49,2.40%
hvlp_time,4.47,4.5,0.03,0.71%
hvlp_percent,2.88,2.9,0.02,0.61%
,,,,
=== RESULTS FOR FILE: 140-CXL.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,40563.9,40570.6,6.7,0.02%
total_time,91.19,88.9,2.29,2.51%
rest_time,19.07,16.8,2.27,11.91%
first_quartile,440,440,0,0.00%
median_freq,554.37,554.4,0.03,0.01%
third_quartile,659.25,659.3,0.05,0.01%
lvhp_time,40.67,40.8,0.13,0.31%
lvhp_percent,56.4,56.6,0.2,0.35%
lvmp_time,2.6,2.6,0,0.15%
lvmp_percent,3.6,3.6,0,0.00%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,29.42,29.6,0.18,0.60%
mvhp_percent,40.8,41.1,0.3,0.74%
mvmp_time,5.48,5.5,0.02,0.35%
mvmp_percent,7.6,7.6,0,0.00%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,27.12,27.3,0.18,0.68%
hvhp_percent,37.6,37.9,0.3,0.80%
hvmp_time,5.48,5.5,0.02,0.35%
hvmp_percent,7.6,7.6,0,0.00%
hvlp_time,0,0,0,0.00%
hvlp_percent,0,0,0,0.00%
,,,,
=== RESULTS FOR FILE: 141-CXLI.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,39223.71,39375,151.29,0.39%
total_time,102.52,103.7,1.18,1.15%
rest_time,26.37,27.2,0.83,3.14%
first_quartile,415.31,415.3,0.01,0.00%
median_freq,523.25,493.9,29.35,5.61%
third_quartile,622.25,622.2,0.05,0.01%
lvhp_time,27.08,27.2,0.12,0.45%
lvhp_percent,35.56,35.6,0.04,0.11%
lvmp_time,10.05,10.1,0.05,0.46%
lvmp_percent,13.2,13.2,0,0.02%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,20.14,20.2,0.06,0.28%
mvhp_percent,26.45,26.5,0.05,0.18%
mvmp_time,12.73,12.8,0.07,0.53%
mvmp_percent,16.72,16.7,0.02,0.12%
mvlp_time,2.5,2.5,0,0.00%
mvlp_percent,3.28,3.3,0.02,0.51%
hvhp_time,19.5,19.6,0.1,0.49%
hvhp_percent,25.61,25.6,0.01,0.05%
hvmp_time,14.36,14.4,0.04,0.30%
hvmp_percent,18.85,18.9,0.05,0.24%
hvlp_time,2.5,2.5,0,0.00%
hvlp_percent,3.28,3.3,0.02,0.51%
,,,,
=== RESULTS FOR FILE: 142-CXLII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,109648.21,109648.8,0.59,0.00%
total_time,258.18,257.8,0.38,0.15%
rest_time,48.5,48.4,0.1,0.21%
first_quartile,415.31,415.3,0.01,0.00%
median_freq,523.25,523.2,0.05,0.01%
third_quartile,622.25,622.2,0.05,0.01%
lvhp_time,77.5,76,1.5,1.93%
lvhp_percent,36.96,36.3,0.66,1.79%
lvmp_time,11.57,11.5,0.07,0.62%
lvmp_percent,5.52,5.5,0.02,0.34%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,59.86,58.3,1.56,2.61%
mvhp_percent,28.55,27.9,0.65,2.27%
mvmp_time,38.21,38.5,0.29,0.76%
mvmp_percent,18.22,18.4,0.18,0.97%
mvlp_time,6.43,6.4,0.03,0.44%
mvlp_percent,3.07,3.1,0.03,1.11%
hvhp_time,60.65,60.5,0.15,0.25%
hvhp_percent,28.92,28.9,0.02,0.08%
hvmp_time,38.21,38.5,0.29,0.76%
hvmp_percent,18.22,18.4,0.18,0.97%
hvlp_time,6.43,6.4,0.03,0.44%
hvlp_percent,3.07,3.1,0.03,1.11%
,,,,
=== RESULTS FOR FILE: 143-CXLIII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,36608.14,36607.9,0.24,0.00%
total_time,87.52,87.5,0.02,0.02%
rest_time,17.02,17,0.02,0.13%
first_quartile,415.31,415.3,0.01,0.00%
median_freq,523.25,523.2,0.05,0.01%
third_quartile,622.25,622.2,0.05,0.01%
lvhp_time,25,25,0,0.00%
lvhp_percent,35.46,35.5,0.04,0.11%
lvmp_time,3.5,3.5,0,0.00%
lvmp_percent,4.96,5,0.04,0.71%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,19,19,0,0.00%
mvhp_percent,26.95,27,0.05,0.18%
mvmp_time,7.5,7.5,0,0.00%
mvmp_percent,10.64,10.6,0.04,0.36%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,19,19,0,0.00%
hvhp_percent,26.95,27,0.05,0.18%
hvmp_time,9,9,0,0.00%
hvmp_percent,12.77,12.8,0.03,0.27%
hvlp_time,0,0,0,0.00%
hvlp_percent,0,0,0,0.00%
,,,,
=== RESULTS FOR FILE: 144-CXLIV.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,39079.17,39090.3,11.13,0.03%
total_time,82.2,82.2,0,0.00%
rest_time,9.67,9.7,0.03,0.26%
first_quartile,415.31,415.3,0.01,0.00%
median_freq,554.37,554.4,0.03,0.01%
third_quartile,622.25,622.2,0.05,0.01%
lvhp_time,24.1,24.1,0,0.00%
lvhp_percent,33.23,33.2,0.03,0.09%
lvmp_time,2.4,2.2,0.2,8.33%
lvmp_percent,3.31,3.1,0.21,6.32%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,15.43,15.4,0.03,0.16%
mvhp_percent,21.27,21.3,0.03,0.15%
mvmp_time,12.07,12.1,0.03,0.21%
mvmp_percent,16.65,16.7,0.05,0.30%
mvlp_time,1.2,1.2,0,0.00%
mvlp_percent,1.65,1.7,0.05,2.74%
hvhp_time,15.43,15.4,0.03,0.16%
hvhp_percent,21.27,21.3,0.03,0.15%
hvmp_time,12.07,12.1,0.03,0.21%
hvmp_percent,16.65,16.7,0.05,0.30%
hvlp_time,1.2,1.2,0,0.00%
hvlp_percent,1.65,1.7,0.05,2.74%
,,,,
=== RESULTS FOR FILE: 145-CXLV.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,30505.22,30810.3,305.08,1.00%
total_time,84.8,84.8,0,0.00%
rest_time,30.01,29.6,0.41,1.38%
first_quartile,466.16,466.2,0.04,0.01%
median_freq,554.37,554.4,0.03,0.01%
third_quartile,698.46,698.5,0.04,0.01%
lvhp_time,11.09,12,0.91,8.24%
lvhp_percent,20.24,21.7,1.46,7.22%
lvmp_time,3.91,3.9,0.01,0.33%
lvmp_percent,7.14,7.1,0.04,0.60%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,21.3,21.7,0.4,1.86%
mvhp_percent,38.89,39.4,0.51,1.31%
mvmp_time,6.52,6.5,0.02,0.33%
mvmp_percent,11.9,11.8,0.1,0.88%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,20.43,20.9,0.47,2.28%
hvhp_percent,37.3,37.8,0.5,1.34%
hvmp_time,6.52,6.5,0.02,0.33%
hvmp_percent,11.9,11.8,0.1,0.88%
hvlp_time,0,0,0,0.00%
hvlp_percent,0,0,0,0.00%
,,,,
=== RESULTS FOR FILE: 146-CXLVI.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,55471.38,55429.2,42.18,0.08%
total_time,121.03,121,0.03,0.03%
rest_time,9.57,9.8,0.23,2.41%
first_quartile,392,392,0,0.00%
median_freq,493.88,493.9,0.02,0.00%
third_quartile,587.33,587.3,0.03,0.01%
lvhp_time,43.19,43.2,0.01,0.02%
lvhp_percent,38.75,38.8,0.05,0.14%
lvmp_time,6.72,6.5,0.22,3.33%
lvmp_percent,6.03,5.8,0.23,3.85%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,27.93,27.9,0.03,0.11%
mvhp_percent,25.06,25.1,0.04,0.17%
mvmp_time,13.06,12.7,0.36,2.76%
mvmp_percent,11.72,11.4,0.32,2.70%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,19.78,19.8,0.02,0.08%
hvhp_percent,17.75,17.8,0.05,0.28%
hvmp_time,27.54,27.4,0.14,0.52%
hvmp_percent,24.71,24.7,0.01,0.04%
hvlp_time,6.72,6.5,0.22,3.33%
hvlp_percent,6.03,5.8,0.23,3.85%
,,,,
=== RESULTS FOR FILE: 147-CXLVII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,116222.53,118228,2005.47,1.73%
total_time,273.93,270.4,3.53,1.29%
rest_time,65.95,57.6,8.35,12.65%
first_quartile,440,440,0,0.00%
median_freq,523.25,554.4,31.15,5.95%
third_quartile,659.25,659.3,0.05,0.01%
lvhp_time,78.43,80.3,1.87,2.39%
lvhp_percent,37.71,37.7,0.01,0.02%
lvmp_time,10.5,10.5,0,0.03%
lvmp_percent,5.05,4.9,0.15,2.97%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,73.92,72.2,1.72,2.33%
mvhp_percent,35.54,33.9,1.64,4.62%
mvmp_time,22.91,22.9,0.01,0.06%
mvmp_percent,11.02,10.7,0.32,2.88%
mvlp_time,1.11,1.1,0.01,1.00%
mvlp_percent,0.53,0.5,0.03,6.41%
hvhp_time,64.57,61.4,3.17,4.92%
hvhp_percent,31.05,28.9,2.15,6.92%
hvmp_time,35.77,36.4,0.63,1.76%
hvmp_percent,17.2,17.1,0.1,0.57%
hvlp_time,2.74,2.4,0.34,12.39%
hvlp_percent,1.32,1.1,0.22,16.49%
,,,,
=== RESULTS FOR FILE: 148-CXLVIII.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,56130.24,55988.9,141.34,0.25%
total_time,127.32,127.3,0.02,0.01%
rest_time,24.7,25,0.3,1.23%
first_quartile,466.16,440,26.16,5.61%
median_freq,523.25,523.2,0.05,0.01%
third_quartile,622.25,698.5,76.25,12.25%
lvhp_time,32.56,32.6,0.04,0.12%
lvhp_percent,31.73,31.8,0.07,0.22%
lvmp_time,0,0,0,0.00%
lvmp_percent,0,0,0,0.00%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,34.76,34.8,0.04,0.13%
mvhp_percent,33.87,34,0.13,0.39%
mvmp_time,13.54,13.2,0.34,2.49%
mvmp_percent,13.19,12.9,0.29,2.20%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,26.71,26.7,0.01,0.03%
hvhp_percent,26.02,26.1,0.08,0.29%
hvmp_time,25.24,25.1,0.14,0.57%
hvmp_percent,24.6,24.5,0.1,0.40%
hvlp_time,0,0,0,0.00%
hvlp_percent,0,0,0,0.00%
,,,,
=== RESULTS FOR FILE: 149-CXLIX.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,72487.21,72514.1,26.89,0.04%
total_time,137.81,137.7,0.11,0.08%
rest_time,10.67,10.7,0.03,0.26%
first_quartile,493.88,493.9,0.02,0.00%
median_freq,554.37,554.4,0.03,0.01%
third_quartile,659.25,659.3,0.05,0.01%
lvhp_time,61.29,61.4,0.11,0.17%
lvhp_percent,48.21,48.3,0.09,0.19%
lvmp_time,2.56,2.2,0.36,14.10%
lvmp_percent,2.01,1.7,0.31,15.61%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,35.17,35.2,0.03,0.10%
mvhp_percent,27.66,27.7,0.04,0.15%
mvmp_time,7.5,7.1,0.4,5.33%
mvmp_percent,5.9,5.6,0.3,5.07%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,24.48,24.6,0.12,0.47%
hvhp_percent,19.26,19.3,0.04,0.22%
hvmp_time,7.68,7.1,0.58,7.59%
hvmp_percent,6.04,5.6,0.44,7.33%
hvlp_time,0,0,0,0.00%
hvlp_percent,0,0,0,0.00%
,,,,
=== RESULTS FOR FILE: 150-CL.mid===,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,64284.1,64149.1,135,0.21%
total_time,139.67,137,2.67,1.91%
rest_time,21.06,18.5,2.56,12.15%
first_quartile,440,440,0,0.00%
median_freq,493.88,493.9,0.02,0.00%
third_quartile,659.25,659.3,0.05,0.01%
lvhp_time,46.25,46.2,0.05,0.11%
lvhp_percent,39,39,0,0.01%
lvmp_time,3.53,3.5,0.03,0.75%
lvmp_percent,2.97,3,0.03,0.90%
lvlp_time,0,0,0,0.00%
lvlp_percent,0,0,0,0.00%
mvhp_time,38.95,38.9,0.05,0.13%
mvhp_percent,32.84,32.8,0.04,0.12%
mvmp_time,11.46,11.5,0.04,0.32%
mvmp_percent,9.66,9.7,0.04,0.37%
mvlp_time,0,0,0,0.00%
mvlp_percent,0,0,0,0.00%
hvhp_time,31.61,31.6,0.01,0.05%
hvhp_percent,26.65,26.7,0.05,0.17%
hvmp_time,18.13,18.4,0.27,1.49%
hvmp_percent,15.29,15.6,0.31,2.06%
hvlp_time,0.16,0.2,0.04,26.00%
hvlp_percent,0.13,0.1,0.03,25.28%
,,,,
,,,,
AVERAGE PERCENT ERROR ACROSS ALL FILES,,,,
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,N/A,N/A,N/A,0.64%
total_time,N/A,N/A,N/A,0.60%
rest_time,N/A,N/A,N/A,1.98%
first_quartile,N/A,N/A,N/A,0.94%
median_freq,N/A,N/A,N/A,1.07%
third_quartile,N/A,N/A,N/A,0.95%
lvhp_time,N/A,N/A,N/A,0.56%
lvhp_percent,N/A,N/A,N/A,0.43%
lvmp_time,N/A,N/A,N/A,2.44%
lvmp_percent,N/A,N/A,N/A,2.62%
lvlp_time,N/A,N/A,N/A,2.18%
lvlp_percent,N/A,N/A,N/A,2.47%
mvhp_time,N/A,N/A,N/A,0.42%
mvhp_percent,N/A,N/A,N/A,0.39%
mvmp_time,N/A,N/A,N/A,2.49%
mvmp_percent,N/A,N/A,N/A,2.28%
mvlp_time,N/A,N/A,N/A,1.12%
mvlp_percent,N/A,N/A,N/A,1.38%
hvhp_time,N/A,N/A,N/A,0.46%
hvhp_percent,N/A,N/A,N/A,0.47%
hvmp_time,N/A,N/A,N/A,2.38%
hvmp_percent,N/A,N/A,N/A,2.34%
hvlp_time,N/A,N/A,N/A,2.22%
hvlp_percent,N/A,N/A,N/A,2.39%
